time_tick,att_X_value,att_Y_value,att_Z_value
4.953966,-0.650253,1.262919,-37.806674
4.998922,-0.725658,1.40018,-39.62515
5.02889,-0.685663,1.457866,-41.044589
5.043886,-0.650075,1.368873,-41.729983
5.088826,-0.706978,1.470429,-43.439961
5.123815,-0.662844,1.384541,-44.51412
5.163779,-0.660757,1.539361,-45.627125
5.183762,-0.649864,1.513495,-46.034087
5.223725,-0.504203,1.168793,-46.639227
5.253699,-0.56164,1.138933,-47.088816
5.298658,-0.690595,1.421223,-47.814413
5.31362,-0.675469,1.334673,-48.113095
5.358605,-0.69486,1.356063,-49.195173
5.388578,-0.810374,1.370178,-49.897157
5.433515,-0.664979,1.421782,-51.109002
5.453503,-0.755274,1.304858,-51.676157
5.493459,-0.676701,1.264111,-52.83122
5.513467,-0.606452,1.364103,-53.506163
5.543417,-0.491627,1.402848,-54.674226
5.5884,-0.522348,1.314077,-56.404303
5.628344,-0.579996,1.426537,-57.632048
5.658313,-0.517642,1.656028,-58.573356
5.688283,-0.514399,1.527407,-59.505365
5.723265,-0.621381,1.389473,-60.598238
5.763244,-0.659809,1.611239,-61.705399
5.793216,-0.496367,1.633086,-62.353551
5.823189,-0.539305,1.540783,-62.98864
5.858159,-0.611877,1.564885,-63.747418
5.883136,-0.451656,1.678982,-64.275799
5.928095,-0.498446,1.607088,-65.500026
5.958069,-0.577844,1.658184,-66.456143
5.988042,-0.386537,1.637308,-67.046468
6.032979,-0.323012,1.997794,-67.984908
6.052988,-0.490817,1.832403,-68.382214
6.092946,-0.346404,1.924274,-69.158406
6.1229,-0.300919,1.981732,-69.717748
6.152889,-0.295507,1.900362,-70.217396
6.182867,-0.258724,2.021396,-70.670189
6.227827,-0.132222,2.182186,-71.298397
6.257801,-0.11411,2.042808,-71.75499
6.287774,-0.163076,2.085349,-72.374886
6.322745,-0.072328,2.13755,-72.94687
6.362708,-0.023289,2.201119,-73.655998
6.382691,-0.009716,2.278766,-74.022569
6.422654,0.003119,2.357252,-74.836834
6.467614,0.003487,2.321128,-75.43554
6.497579,-0.019916,2.329619,-76.125789
6.527547,-0.019135,2.265023,-76.713047
6.557517,-0.019538,2.490523,-77.182839
6.587493,-0.106785,2.498564,-77.595611
6.632466,-0.128877,2.524582,-78.245378
6.662423,-0.22472,2.208379,-78.599826
6.682409,-0.230242,2.385065,-78.87686
6.722371,-0.288959,2.140001,-79.366221
6.752359,-0.38579,2.157212,-79.827895
6.797319,-0.433082,2.097536,-80.329312
6.812306,-0.388502,2.18855,-80.465575
6.857265,-0.46946,2.087012,-80.804294
6.892235,-0.544901,2.024695,-80.956845
6.922205,-0.455529,2.092597,-81.067504
6.952182,-0.579746,1.895399,-81.204685
6.982138,-0.474062,1.974102,-81.377454
7.012129,-0.598539,1.974808,-81.461482
7.057077,-0.581225,2.133463,-81.596138
7.087045,-0.509542,2.123577,-81.600655
7.127004,0.506869,1.628587,-81.694291
7.156988,0.65906,1.801729,-81.818256
7.18697,0.631107,1.960559,-82.073122
7.231924,0.718018,2.192849,-82.535999
7.261904,0.691617,2.140949,-83.031413
7.291877,0.915045,2.283625,-83.713432
7.32185,1.274336,2.683364,-84.240073
7.35682,1.864239,3.919515,-85.517141
7.386793,1.559472,3.405387,-85.56945
7.426756,1.727378,3.79114,-85.915687
7.45673,1.585919,3.562186,-86.202724
7.486704,1.706327,3.54831,-86.570068
7.521666,1.642858,3.522659,-86.849457
7.551647,1.741798,3.747669,-86.969763
7.581619,1.882696,3.938276,-87.108477
7.611593,2.007394,4.055808,-87.167866
7.656553,2.26942,4.262226,-87.375738
7.6965,2.067679,4.469184,-87.452841
7.711502,2.237254,4.340873,-87.513006
7.756459,2.173826,4.44412,-87.724402
7.786417,2.260534,4.393325,-87.725989
7.816396,2.195578,4.271338,-87.775706
7.851378,2.339677,4.14265,-87.833306
7.881351,2.295648,4.142327,-87.883027
7.921314,2.399129,3.975984,-87.920441
7.951288,2.379161,3.918928,-87.918678
7.986258,2.37204,3.926568,-87.918902
8.026221,2.639807,3.91721,-87.934067
8.046204,2.60492,3.883586,-87.928435
8.086167,2.820268,3.858069,-87.911893
8.131123,2.671942,3.786346,-87.885288
8.161092,2.596924,3.889948,-87.891136
8.19106,2.60785,3.835575,-87.927086
8.221028,2.607394,3.929272,-87.931977
8.256016,2.606568,3.822075,-87.964088
8.28599,2.596704,3.915285,-87.959073
8.31596,2.610421,3.812844,-87.958478
8.355907,2.558293,3.84421,-87.980324
8.390812,2.607644,3.826052,-87.988936
8.430775,2.56744,3.816005,-87.9873
8.460749,2.540252,3.753799,-87.986968
8.49072,2.551561,3.75859,-87.989064
8.520695,2.53382,3.733757,-87.990711
8.55565,2.48438,3.693203,-87.988966
8.580641,2.454816,3.682094,-87.987281
8.610614,2.427451,3.648109,-87.984555
8.655575,2.41714,3.621701,-87.981873
8.700534,2.407424,3.587574,-87.977451
8.730508,2.403374,3.580807,-87.977741
8.750475,2.396062,3.578761,-87.977802
8.780443,2.389711,3.574295,-87.978568
8.810411,2.374263,3.564804,-87.978709
8.855397,2.361448,3.54292,-87.97974
8.895359,2.358753,3.541929,-87.98055
8.925334,2.343231,3.529295,-87.978711
8.955306,2.336166,3.518846,-87.977632
8.990276,2.323903,3.501662,-87.976501
9.02025,2.324253,3.500582,-87.977385
9.045226,2.326408,3.501276,-87.978771
9.080196,2.322673,3.498058,-87.980722
9.120161,2.319488,3.502061,-87.983648
9.155107,2.319323,3.505225,-87.98543
9.185102,2.318933,3.502051,-87.986354
9.225064,2.315404,3.4962,-87.985754
9.255032,2.314724,3.491263,-87.984554
9.299985,2.307971,3.471776,-87.981174
9.329954,2.305279,3.464041,-87.982671
9.359932,2.303517,3.466873,-87.982362
9.389919,2.300243,3.461051,-87.982549
9.424889,2.306411,3.465233,-87.984286
9.449857,2.300887,3.457938,-87.985115
9.494824,2.30321,3.478955,-87.988773
9.514787,2.267462,3.559213,-88.000101
9.55477,2.272199,3.723001,-88.005799
9.584745,2.240114,3.746627,-88.006206
9.629704,2.268348,3.563982,-87.990489
