time_tick,att_X_value,att_Y_value,att_Z_value
4.944687,-1.359857,1.938114,-0.584146
4.964665,-1.339637,1.938342,-0.607376
5.004620,-1.317349,1.879332,-0.641775
5.049601,-1.403644,1.880330,-0.670795
5.064588,-1.551085,1.936810,-0.663150
5.109549,-1.582241,1.925035,-0.671260
5.139525,-1.667007,2.088347,-0.663656
5.169500,-1.843088,2.023213,-0.647527
5.204471,-1.937080,1.972966,-0.657689
5.234446,-1.902502,1.975077,-0.675844
5.274410,-1.851398,1.911364,-0.684001
5.294395,-1.851823,1.855619,-0.668419
5.334360,-2.102797,1.841429,-0.670994
5.364334,-2.285329,1.879307,-0.657579
5.409284,-2.253312,1.847074,-0.657661
5.439271,-2.142191,1.779865,-0.636616
5.469245,-2.151087,1.757799,-0.620524
5.499220,-2.222929,1.676249,-0.623964
5.544166,-2.181742,1.555825,-0.613032
5.564156,-2.062803,1.562806,-0.616398
5.604111,-1.724321,1.536823,-0.624738
5.634079,-1.683366,1.546740,-0.630865
5.664054,-1.744064,1.548755,-0.646177
5.709022,-1.700122,1.538749,-0.645086
5.724015,-1.722879,1.572058,-0.647221
5.768993,-1.772702,1.541746,-0.668891
5.803964,-1.621569,1.566997,-0.672498
5.833938,-1.471954,1.574061,-0.685653
5.873903,-1.526380,1.403880,-0.707144
5.903877,-1.470196,1.314485,-0.725815
5.923863,-1.159951,1.287299,-0.741694
5.963826,-0.992503,0.954820,-0.765575
5.998795,-1.248878,1.080191,-0.798083
6.038742,-1.276258,1.088509,-0.828299
6.068711,-1.460742,0.984318,-0.847539
6.098712,-1.570372,0.926231,-0.871502
6.133684,-1.703030,0.927028,-0.903295
6.173649,-1.730652,0.904757,-0.911701
6.203624,-1.755854,0.978011,-0.921310
6.233597,-1.748432,0.949471,-0.919407
6.278560,-1.794465,0.867406,-0.900014
6.308534,-1.887550,0.850942,-0.877492
6.338509,-2.041729,0.785605,-0.831362
6.368484,-2.154057,0.684385,-0.814970
6.403457,-2.377193,0.480302,-0.823128
6.433415,-2.393889,0.488912,-0.806728
6.463405,-2.324050,0.477255,-0.793564
6.493352,-1.996912,0.462311,-0.807309
6.523347,-1.911726,0.482751,-0.805209
6.578287,-2.040057,0.415133,-0.818543
6.593293,-2.018689,0.414925,-0.843266
6.638230,-1.991659,0.469240,-0.846126
6.668228,-1.669090,0.456885,-0.873629
6.703174,-1.555063,0.364927,-0.889642
6.743168,-1.486121,0.292197,-0.898065
6.758153,-1.517640,0.306044,-0.904665
6.803116,-1.428289,0.379073,-0.906919
6.833090,-1.227509,0.421374,-0.939400
6.868062,-1.364146,0.470955,-0.930109
6.908017,-1.509273,0.468933,-0.926976
6.938001,-1.546443,0.505138,-0.913937
6.967976,-1.387754,0.483288,-0.907425
